N,Z
639,-256
640,-256
641,-238
642,-228
643,-232
644,-246
645,-296
646,-250
647,-92
648,-244
649,-422
650,-196
651,-136
652,-310
653,-202
654,-192
655,-324
656,-236
657,-182
658,-288
659,-236
660,-176
661,-270
662,-284
663,-232
664,-240
665,-224
666,-214
667,-248
668,-278
669,-258
670,-216
671,-236
672,-234
673,-252
674,-256
675,-252
676,-248
677,-220
678,-240
679,-228
680,-246
681,-248
682,-228
683,-226
684,-246
685,-242
686,-236
687,-244
688,-248
689,-230
690,-232
691,-240
692,-246
693,-264
694,-238
695,-220
696,-248
697,-244
698,-230
699,-248
700,-266
701,-228
702,-218
703,-250
704,-244
705,-232
706,-248
707,-250
708,-232
709,-220
710,-250
711,-248
712,-236
713,-246
714,-238
715,-228
716,-240
717,-250
718,-236
719,-238
720,-248
721,-244
722,-238
723,-266
724,-214
725,-188
726,-308
727,-322
728,-138
729,-168
730,-348
731,-252
732,-172
733,-278
734,-256
735,-178
736,-258
737,-276
738,-202
739,-232
740,-272
741,-224
742,-218
743,-272
744,-256
745,-246
746,-256
747,-236
748,-218
749,-242
750,-252
751,-248
752,-240
753,-236
754,-234
755,-246
756,-236
757,-252
758,-250
759,-244
760,-230
761,-246
762,-250
763,-240
764,-236
765,-240
766,-242
767,-228
768,-244
769,-254
770,-250
771,-248
772,-244
773,-232
774,-236
775,-258
776,-246
777,-228
778,-244
779,-256
780,-218
781,-234
782,-274
783,-246
784,-224
785,-234
786,-246
787,-226
788,-232
789,-252
790,-232
791,-216
792,-246
793,-240
794,-242
795,-246
796,-240
797,-224
798,-238
799,-256
800,-236
801,-224
802,-226
803,-212
804,-266
805,-318
806,-188
807,-78
808,-368
809,-384
810,-74
811,-226
812,-336
813,-156
814,-236
815,-322
816,-164
817,-228
818,-300
819,-204
820,-240
821,-304
822,-232
823,-240
824,-236
825,-200
826,-234
827,-258
828,-240
829,-236
830,-224
831,-224
832,-250
833,-226
834,-256
835,-236
836,-248
837,-244
838,-236
839,-238
840,-268
841,-232
842,-226
843,-252
844,-256
845,-240
846,-240
847,-232
848,-224
849,-228
850,-244
851,-254
852,-240
853,-240
854,-266
855,-228
856,-224
857,-250
858,-246
859,-222
860,-238
861,-254
862,-226
863,-236
864,-256
865,-246
866,-226
867,-240
868,-242
869,-216
870,-238
871,-250
872,-238
873,-226
874,-244
875,-252
876,-248
877,-256
878,-258
879,-232
880,-240
881,-234
882,-248
883,-254
884,-186
885,-230
886,-352
887,-264
888,-102
889,-234
890,-334
891,-212
892,-202
893,-288
894,-226
895,-208
896,-280
897,-262
898,-204
899,-244
900,-272
901,-198
902,-242
903,-272
904,-234
905,-240
906,-246
907,-210
908,-236
909,-256
910,-252
911,-248
912,-238
913,-242
914,-238
915,-236
916,-248
917,-256
918,-250
919,-232
920,-224
921,-240
922,-250
923,-230
924,-228
925,-262
926,-238
927,-228
928,-254
929,-236
930,-218
931,-250
932,-250
933,-228
934,-240
935,-254
936,-244
937,-236
938,-254
939,-240
940,-226
941,-242
942,-254
943,-238
944,-226
945,-246
946,-250
947,-236
948,-244
949,-256
950,-242
951,-246
952,-250
953,-240
954,-240
955,-248
956,-244
957,-234
958,-236
959,-240
960,-236
961,-230
962,-230
963,-230
964,-284
965,-310
966,-110
967,-128
968,-442
969,-308
970,-54
971,-250
972,-302
973,-158
974,-280
975,-282
976,-180
977,-266
978,-258
979,-198
980,-256
981,-272
982,-226
983,-256
984,-222
985,-218
986,-248
987,-252
988,-258
989,-236
990,-196
991,-238
992,-254
993,-234
994,-254
995,-242
996,-222
997,-226
998,-216
999,-252
1000,-264
1001,-232
1002,-208
1003,-242
1004,-238
1005,-248
1006,-234
1007,-234
1008,-232
1009,-226
1010,-244
1011,-252
1012,-246
1013,-252
1014,-260
1015,-224
1016,-238
1017,-256
1018,-238
1019,-210
1020,-246
1021,-246
1022,-210
1023,-234
1024,-260
1025,-236
1026,-242
1027,-244
1028,-244
1029,-228
1030,-232
1031,-246
1032,-232
1033,-228
1034,-226
1035,-228
1036,-230
1037,-260
1038,-230
1039,-238
1040,-234
1041,-244
1042,-242
1043,-248
1044,-210
1045,-186
1046,-284
1047,-334
1048,-172
1049,-128
1050,-308
1051,-300
1052,-192
1053,-246
1054,-266
1055,-188
1056,-224
1057,-262
1058,-212
1059,-224
1060,-260
1061,-246
1062,-206
1063,-240
1064,-254
1065,-228
1066,-248
1067,-226
1068,-202
1069,-232
1070,-254
1071,-254
1072,-250
1073,-242
1074,-230
1075,-238
1076,-238
1077,-250
1078,-238
1079,-216
1080,-242
1081,-252
1082,-232
1083,-236
1084,-242
1085,-248
1086,-224
1087,-230
1088,-258
1089,-242
1090,-234
1091,-256
1092,-234
1093,-230
1094,-240
1095,-244
1096,-234
1097,-236
1098,-246
1099,-226
1100,-226
1101,-254
1102,-256
1103,-224
1104,-238
1105,-244
1106,-238
1107,-244
1108,-244
1109,-228
1110,-228
1111,-242
1112,-244
1113,-250
1114,-232
1115,-240
1116,-230
1117,-234
1118,-252
1119,-246
1120,-242
1121,-240
1122,-218
1123,-242
1124,-318
1125,-212
1126,-66
1127,-278
1128,-424
1129,-162
1130,-158
